protein,ligand_name,pocket,replica,time_ns,mean,std,n_features,rmsd_20ns,ligand_drift,f_contact_20ns,label_unstable,slope,rmsd_var,mean_disp,var_disp,energy_std
AFR1,Milbemycin,pocket10,replica_1,1.0,0.6675751528685892,0.6387201439392598,7,,5.0966167,0.8181818181818182,0,1.5628986135740974,0.48656599016845586,1.4764835834503174,0.09497656149411852,1.0521013213931347
AFR1,Milbemycin,pocket10,replica_1,2.0,0.675510279883001,0.7841800409362346,7,,5.0966167,0.8181818181818182,0,0.6211516913454964,0.3378137257562978,2.319840431213379,0.19278848092475998,1.2569776299410749
AFR1,Milbemycin,pocket10,replica_1,3.0,0.5316092559422904,0.6294526541493869,7,,5.0966167,0.8181818181818182,0,0.3319705264110163,0.25652144366405905,1.7924684286117554,0.18819025196431474,1.1521141409448872
AFR1,Milbemycin,pocket10,replica_1,4.0,0.43521972053805846,0.5552600145049997,7,,5.0966167,0.8181818181818182,0,0.2001952449784413,0.20527532143762578,1.5088083744049072,0.07399893898546832,1.0582601639599667
AFR1,Milbemycin,pocket10,replica_1,5.0,0.42343089474978374,0.5365740927229424,7,,5.0966167,0.8181818181818182,0,0.18090275613535617,0.19626759895204368,1.3827056884765625,0.07181558396897916,1.1323246357155445
AFR1,Milbemycin,pocket10,replica_1,6.0,0.43539782380934217,0.5846339363711455,7,,5.0966167,0.8181818181818182,0,0.14942988402962568,0.1806060558441267,1.5896497964859009,0.06338060881935532,1.0647184214863865
AFR1,Milbemycin,pocket10,replica_1,7.0,0.4426348097422104,0.6048711866142843,7,,5.0966167,0.8181818181818182,0,0.12866089684593984,0.16897166618811202,1.6130255460739136,0.055288397592204865,1.132497161495302
AFR1,Milbemycin,pocket10,replica_1,8.0,0.45085116901463007,0.6196535943221146,7,,5.0966167,0.8181818181818182,0,0.11918865178735692,0.16649089474409487,1.633104920387268,0.05449234510724968,1.182681371076441
AFR1,Milbemycin,pocket10,replica_1,10.0,0.4322639701602261,0.6015387300092605,7,,5.0966167,0.8181818181818182,0,0.09214763299445952,0.1512744119324571,1.548640251159668,0.04674723984616977,1.1870382551888283
AFR1,Milbemycin,pocket10,replica_1,12.0,0.44369285294716215,0.6159044790700654,7,,5.0966167,0.8181818181818182,0,0.08747552504297305,0.16332204718247081,1.5566020011901855,0.04379594594235072,1.254654451272155
AFR1,Milbemycin,pocket10,replica_1,14.0,0.4454342138582736,0.6232651703707612,7,,5.0966167,0.8181818181818182,0,0.08309126011540786,0.1775182227200979,1.6354737281799316,0.041628511662588914,1.1803277743298888
AFR1,Milbemycin,pocket11,replica_1,1.0,0.11526402697566497,0.1919208453683027,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.23690866353861292,0.021350633459734984,0.5424169898033142,0.006171902027992707,0.0
AFR1,Milbemycin,pocket11,replica_1,2.0,0.08879701954999587,0.18901252946918046,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.05021806624944108,0.015203578376613886,0.5499849319458008,0.006172560278115429,0.0
AFR1,Milbemycin,pocket11,replica_1,3.0,0.09407156733802192,0.21130437255053544,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.028891652645100928,0.012042410659666178,0.6111233234405518,0.006443584620834626,0.0
AFR1,Milbemycin,pocket11,replica_1,4.0,0.09007647759277904,0.2073886116864002,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.01568215820425774,0.01142255664470256,0.5978791117668152,0.005551516533677796,0.0
AFR1,Milbemycin,pocket11,replica_1,5.0,0.08852537864434473,0.20609608095624074,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.010861670570594246,0.010167366428880331,0.5932417511940002,0.005406862316938331,0.0
AFR1,Milbemycin,pocket11,replica_1,6.0,0.08908921212383189,0.20520567018650301,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.014384327188577527,0.010320996334645253,0.5915710926055908,0.007348068738009605,0.0
AFR1,Milbemycin,pocket11,replica_1,7.0,0.08832432529350058,0.20469600215351821,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.011364200293034341,0.009775201719503523,0.5896016359329224,0.0075292391090438894,0.0
AFR1,Milbemycin,pocket11,replica_1,8.0,0.08934777384143593,0.20370162726786556,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.017752323126772447,0.012488858212068361,0.5880643725395203,0.007128863011690514,0.0
AFR1,Milbemycin,pocket11,replica_1,10.0,0.09291846444737353,0.20370282611267404,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.029301316672414358,0.02184622009910824,0.5911847352981567,0.008096979061935353,0.0
AFR1,Milbemycin,pocket11,replica_1,12.0,0.24033745507036144,0.3840749910137752,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.019963367259509403,0.020169438395079245,0.5933793783187866,0.00771316351920588,1.0411368379999488
AFR1,Milbemycin,pocket11,replica_1,14.0,0.22085221484676673,0.3436816508649725,7,0.308557339517165,4.8394513,0.6483516483516484,0,0.019719086394228796,0.021851785592062776,0.5948818922042847,0.007603194121051332,0.9019095456157395
AFR1,Milbemycin,pocket2,replica_1,1.0,0.8422609414068142,0.9635747864668184,7,,1.9622904,0.6428571428571429,0,1.558561830703162,0.35176041239728106,1.0841867923736572,0.12249728597646908,2.7788202683971295
AFR1,Milbemycin,pocket2,replica_1,2.0,0.7845757589620483,1.241602194015402,7,,1.9622904,0.6428571428571429,0,0.5654243073125903,0.24872680364538943,0.8635271191596985,0.07714103516960957,3.7372110474470506
AFR1,Milbemycin,pocket2,replica_1,3.0,0.5980928068947707,0.9471141716814434,7,,1.9622904,0.6428571428571429,0,0.2984761340160944,0.18899552931080804,0.8188722133636475,0.05455876490542299,2.825747006667422
AFR1,Milbemycin,pocket2,replica_1,4.0,0.7120309700913154,0.9870212914447455,7,,1.9622904,0.6428571428571429,0,0.24117820466953796,0.17726472414582398,2.0484232902526855,0.05156317625257318,2.4657873953185874
AFR1,Milbemycin,pocket2,replica_1,5.0,0.7800109371768557,1.119887555909108,7,,1.9622904,0.6428571428571429,0,0.17779429850158493,0.1563506014540527,2.7527337074279785,0.048986794906579346,2.3242111579477935
AFR1,Milbemycin,pocket2,replica_1,6.0,0.8126094048619613,1.1973347555365144,7,,1.9622904,0.6428571428571429,0,0.12766620656477926,0.13912130135967865,3.0611114501953125,0.06980302340592229,2.2905638525080367
AFR1,Milbemycin,pocket2,replica_1,7.0,0.9113525628407152,1.3733969334530753,7,,1.9622904,0.6428571428571429,0,0.08360046224419927,0.12051166592120809,3.469846487045288,0.0689631452321278,2.636546179442183
AFR1,Milbemycin,pocket2,replica_1,8.0,0.9134048756623068,1.388660134553396,7,,1.9622904,0.6428571428571429,0,0.06982606906118767,0.10969736580791319,3.5273280143737793,0.06483814680676578,2.6221445335865012
AFR1,Milbemycin,pocket2,replica_1,10.0,0.8709856929117493,1.330578129049486,7,,1.9622904,0.6428571428571429,0,0.026400143698571178,0.0926759983048253,3.1311755180358887,0.038020743817579715,2.80862744652538
AFR1,Milbemycin,pocket2,replica_1,12.0,0.8373449342944481,1.2926752406239002,7,,1.9622904,0.6428571428571429,0,0.007281181162945473,0.08031840368087081,3.1214945316314697,0.034367517566222736,2.6179529060196285
AFR1,Milbemycin,pocket2,replica_1,14.0,0.8088882817837203,1.2460136011264216,7,,1.9622904,0.6428571428571429,0,0.0018148856330472316,0.07019345911872672,2.7761576175689697,0.03288533995106174,2.781166670214236
AFR1,Milbemycin,pocket3,replica_1,1.0,0.7592823094664797,1.164629002355926,7,,1.1208876,0.5882352941176471,0,1.0643614059362967,0.2929625823753998,3.4759774208068848,0.003165569909698481,0.4785091872370784
AFR1,Milbemycin,pocket3,replica_1,2.0,0.4575653085081194,0.6916061701547411,7,,1.1208876,0.5882352941176471,0,0.42344420921446535,0.194948638524654,2.087378740310669,0.008031960508177739,0.4891536109988699
AFR1,Milbemycin,pocket3,replica_1,3.0,0.3727162537591684,0.5580921419563042,7,,1.1208876,0.5882352941176471,0,0.21802785034133898,0.14816382671584197,1.6590431928634644,0.008712981297749034,0.5750659250957848
AFR1,Milbemycin,pocket3,replica_1,4.0,0.3410066725487794,0.5019642138877691,7,,1.1208876,0.5882352941176471,0,0.14649079183714092,0.12671197500407894,1.4762485027313232,0.038007522316928985,0.5995879159519839
AFR1,Milbemycin,pocket3,replica_1,5.0,0.3051615151547683,0.4561243754891285,7,,1.1208876,0.5882352941176471,0,0.08895565911646473,0.10821961979170003,1.3044978380203247,0.012594852701030994,0.621862636453858
AFR1,Milbemycin,pocket3,replica_1,6.0,0.28992751539376055,0.4319648336131395,7,,1.1208876,0.5882352941176471,0,0.070254578022106,0.09491765882696201,1.2187179327011108,0.01707147706003767,0.6285309611461071
AFR1,Milbemycin,pocket3,replica_1,7.0,0.3003467628091902,0.4761326221706596,7,,1.1208876,0.5882352941176471,0,0.027679864301351866,0.08949827804129033,1.3521798849105835,0.015853572829623446,0.6172157395814823
AFR1,Milbemycin,pocket3,replica_1,8.0,0.31344371059186354,0.5101337162804602,7,,1.1208876,0.5882352941176471,0,0.01984942407890888,0.08031204954386888,1.4534263610839844,0.016154135637427316,0.6243640037988554
AFR1,Milbemycin,pocket3,replica_1,10.0,0.3309359237991033,0.5541730045017769,7,,1.1208876,0.5882352941176471,0,0.013847021894179539,0.06642498759522701,1.5848268270492554,0.019206514097115063,0.6322461159579461
AFR1,Milbemycin,pocket3,replica_1,12.0,0.3073864085220169,0.5064634966610897,7,,1.1208876,0.5882352941176471,0,0.00980613932874681,0.05935500339005687,1.4330147504806519,0.017480126208650297,0.6320488402460124
AFR1,Milbemycin,pocket3,replica_1,14.0,0.4039999800123245,0.7277818827632078,7,,1.1208876,0.5882352941176471,0,0.002483191688151351,0.05386871733131585,2.106252670288086,0.024806902291119086,0.6405883784875994
AFR1,Milbemycin,pocket8,replica_1,1.0,0.2872050788146111,0.4422950890339532,7,1.6708480638293977,1.7969422,0.3167420814479638,1,0.06460835781298903,0.023245873695965796,1.1941903829574585,0.010147476427406567,0.718243460808458
AFR1,Milbemycin,pocket8,replica_1,2.0,0.2853713514600157,0.4398947568050182,7,1.6708480638293977,1.7969422,0.3167420814479638,1,0.007308558640809135,0.019100849696836637,0.9934174418449402,0.009671672849341496,0.9681009371881822
AFR1,Milbemycin,pocket8,replica_1,3.0,0.3087781601526443,0.49125363899907504,7,1.6708480638293977,1.7969422,0.3167420814479638,1,-0.027080023951823656,0.017256553187588237,0.9810438752174377,0.009912277387439189,1.1803144392278688
AFR1,Milbemycin,pocket8,replica_1,4.0,0.32092003602556046,0.5115001024573888,7,1.6708480638293977,1.7969422,0.3167420814479638,1,-0.035516424152356736,0.01831463682424451,1.0418895483016968,0.011341458327631348,1.2104110328777073
