feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.1,0.6820887445887446,0.0731256642657749,0.7506760894829076,0.0969322654764228,0.1956521738705104,0.1374999999828125,0.11687499998539064,0.05882352939446367,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,3,Logistic Regression,0.1,0.7013428932178932,0.12624996845695305,0.734116230991231,0.13150875132665604,0.13043478258034027,0.0999999999875,0.084999999989375,0.05882352939446367,-0.06521739129017012,-0.03187499999601563,0.01925414862914865
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,3,Logistic Regression,0.1,0.7013428932178932,0.12624996845695305,0.734116230991231,0.13150875132665604,0.13043478258034027,0.0999999999875,0.084999999989375,0.05882352939446367,-0.06521739129017012,-0.03187499999601563,0.01925414862914865
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.1,0.7015485209235209,0.07822189113966366,0.7592069105137287,0.09507090746828745,0.2173913043005671,0.1624999999796875,0.13812499998273436,0.0882352940916955,0.021739130430056708,0.021249999997343727,0.019459776334776357
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.1,0.6392848124098125,0.09514213240647021,0.7256523800273801,0.0930090645475771,0.13043478258034027,0.11249999998593752,0.09562499998804688,0.0882352940916955,-0.06521739129017012,-0.021249999997343755,-0.04280393217893208
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,3,Logistic Regression,0.1,0.7048376623376622,0.10918858314168514,0.7661375261943444,0.11379954118524709,0.23913043473062381,0.17499999997812501,0.14874999998140626,0.0882352940916955,0.043478260860113416,0.03187499999601562,0.02274891774891763
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",pocket_gkf,3,Logistic Regression,0.1,0.6737860750360751,0.10068953002575186,0.7138416970235152,0.1350628686498376,0.26086956516068055,0.199999999975,0.16999999997875,0.11764705878892734,0.06521739129017015,0.05312499999335937,-0.00830266955266945
F1_energy,1,energy_std,pocket_gkf,3,Logistic Regression,0.1,0.5445680014430014,0.10032336983378773,0.6631996524799554,0.06297189227503792,0.10869565215028355,0.0999999999875,0.084999999989375,0.0882352940916955,-0.08695652172022685,-0.03187499999601563,-0.13752074314574314
SINGLE_mean_disp,1,mean_disp,pocket_gkf,3,Logistic Regression,0.1,0.5953851010101011,0.04621982872176586,0.7002927761071701,0.04086122354508903,0.2173913043005671,0.14999999998125002,0.12749999998406253,0.05882352939446367,0.021739130430056708,0.010624999998671891,-0.08670364357864346
SINGLE_rmsd_var,1,rmsd_var,pocket_gkf,3,Logistic Regression,0.1,0.6905979437229437,0.12896987134325238,0.7271021725188392,0.1217830805548919,0.04347826086011342,0.024999999996875,0.02124999999734375,0.0,-0.15217391301039698,-0.09562499998804688,0.008509199134199119
SINGLE_slope,1,slope,pocket_gkf,3,Logistic Regression,0.1,0.6570698051948053,0.18492800039584792,0.7513316299301147,0.1403032039185464,0.1956521738705104,0.12499999998437501,0.10624999998671876,0.029411764697231835,0.0,-0.010624999998671877,-0.025018939393939288
SINGLE_var_disp,1,var_disp,pocket_gkf,3,Logistic Regression,0.1,0.6464430014430015,0.07525969702916982,0.7238223581973582,0.0875890697668216,0.10869565215028355,0.08749999998906251,0.07437499999070313,0.05882352939446367,-0.08695652172022685,-0.04249999999468751,-0.03564574314574309
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",protein_logo,3,Logistic Regression,0.1,0.6483333333333333,0.26585292508787217,0.7359126984126985,0.2362656668128504,0.26086956516068055,0.22499999997187503,0.19124999997609377,0.176470588183391,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,3,Logistic Regression,0.1,0.7316666666666667,0.29444234800092245,0.7988756613756612,0.25147592450086853,0.26086956516068055,0.199999999975,0.16999999997875,0.11764705878892734,0.0,-0.021249999997343755,0.08333333333333337
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,3,Logistic Regression,0.1,0.7316666666666667,0.29444234800092245,0.7988756613756612,0.25147592450086853,0.26086956516068055,0.199999999975,0.16999999997875,0.11764705878892734,0.0,-0.021249999997343755,0.08333333333333337
