feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,2,Logistic Regression,0.2,0.7067261904761905,0.09304993721828368,0.7712032257865591,0.10980197072613837,0.4130434781710775,0.3124999999609375,0.2812499999648438,0.176470588183391,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,2,Logistic Regression,0.2,0.7186580086580087,0.1132446681566656,0.7499669312169313,0.12075289239385405,0.3913043477410208,0.3124999999609375,0.2812499999648438,0.20588235288062284,-0.021739130430056708,0.0,0.01193181818181821
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,2,Logistic Regression,0.2,0.7186580086580087,0.1132446681566656,0.7499669312169313,0.12075289239385405,0.3913043477410208,0.3124999999609375,0.2812499999648438,0.20588235288062284,-0.021739130430056708,0.0,0.01193181818181821
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",pocket_gkf,2,Logistic Regression,0.2,0.700937950937951,0.09128566728510984,0.7610251462902978,0.10901205833535531,0.3695652173109641,0.2874999999640625,0.25874999996765624,0.176470588183391,-0.043478260860113416,-0.022499999997187548,-0.005788239538239481
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",pocket_gkf,2,Logistic Regression,0.2,0.6940277777777777,0.08659563961134338,0.7417250019901536,0.1024921825358918,0.4130434781710775,0.33749999995781255,0.30374999996203134,0.23529411757785468,0.0,0.022499999997187548,-0.012698412698412764
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,2,Logistic Regression,0.2,0.7127128427128426,0.0803477457122577,0.774842426092426,0.09962981965172964,0.4130434781710775,0.324999999959375,0.2924999999634375,0.20588235288062284,0.0,0.011249999998593718,0.005986652236652179
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",pocket_gkf,2,Logistic Regression,0.2,0.6869534632034632,0.07805919348569419,0.7347500030833365,0.1126125854312217,0.3695652173109641,0.3124999999609375,0.2812499999648438,0.23529411757785468,-0.043478260860113416,0.0,-0.019772727272727275
F1_energy,1,energy_std,pocket_gkf,2,Logistic Regression,0.2,0.5174233405483406,0.11585124415225657,0.6202969070772101,0.022123994492633758,0.15217391301039698,0.1624999999796875,0.14624999998171875,0.176470588183391,-0.2608695651606805,-0.13499999998312504,-0.18930284992784985
SINGLE_mean_disp,1,mean_disp,pocket_gkf,2,Logistic Regression,0.2,0.5730979437229438,0.04245014814727159,0.6691801618695558,0.061140957906879914,0.26086956516068055,0.22499999997187503,0.20249999997468754,0.176470588183391,-0.15217391301039696,-0.07874999999015625,-0.1336282467532467
SINGLE_rmsd_var,1,rmsd_var,pocket_gkf,2,Logistic Regression,0.2,0.7029338023088023,0.10991493062213552,0.7490413984163984,0.10802475126443714,0.28260869559073726,0.26249999996718754,0.23624999997046875,0.23529411757785468,-0.13043478258034025,-0.04499999999437504,-0.0037923881673881388
SINGLE_slope,1,slope,pocket_gkf,2,Logistic Regression,0.2,0.6827146464646465,0.14772977941446463,0.7414771325756174,0.13602114531440754,0.3913043477410208,0.29999999996250004,0.26999999996625,0.176470588183391,-0.021739130430056708,-0.011249999998593774,-0.024011544011543928
SINGLE_var_disp,1,var_disp,pocket_gkf,2,Logistic Regression,0.2,0.6352209595959596,0.05481849790828639,0.6933403402153402,0.0820417146792602,0.15217391301039698,0.14999999998125002,0.134999999983125,0.14705882348615917,-0.2608695651606805,-0.14624999998171878,-0.07150523088023086
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",protein_logo,2,Logistic Regression,0.2,0.6069444444444444,0.36521704184542236,0.7529365079365079,0.23093004082936805,0.30434782602079397,0.2874999999640625,0.25874999996765624,0.2647058822750865,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,2,Logistic Regression,0.2,0.595,0.3400136162850824,0.7412698412698412,0.21783532480063594,0.3478260868809074,0.3124999999609375,0.2812499999648438,0.2647058822750865,0.043478260860113416,0.022499999997187548,-0.011944444444444424
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",protein_logo,2,Logistic Regression,0.2,0.595,0.3400136162850824,0.7412698412698412,0.21783532480063594,0.3478260868809074,0.3124999999609375,0.2812499999648438,0.2647058822750865,0.043478260860113416,0.022499999997187548,-0.011944444444444424
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",protein_logo,2,Logistic Regression,0.2,0.6236111111111112,0.3182768516888837,0.7716402116402116,0.20818539048770748,0.3695652173109641,0.3124999999609375,0.2812499999648438,0.23529411757785468,0.06521739129017012,0.022499999997187548,0.01666666666666683
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",protein_logo,2,Logistic Regression,0.2,0.6513888888888888,0.35046816131963465,0.7751587301587303,0.2269666692328166,0.3260869564508507,0.29999999996250004,0.26999999996625,0.2647058822750865,0.021739130430056708,0.011249999998593774,0.0444444444444444
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",protein_logo,2,Logistic Regression,0.2,0.5969444444444444,0.3019629709127746,0.7297883597883597,0.22753892204483056,0.3695652173109641,0.33749999995781255,0.30374999996203134,0.29411764697231835,0.06521739129017012,0.044999999994375095,-0.010000000000000009
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",protein_logo,2,Logistic Regression,0.2,0.6283333333333334,0.2688590433390426,0.7433994708994709,0.21068739884993967,0.28260869559073726,0.26249999996718754,0.23624999997046875,0.23529411757785468,-0.021739130430056708,-0.022499999997187492,0.021388888888889013
F1_energy,1,energy_std,protein_logo,2,Logistic Regression,0.2,0.41777777777777775,0.2816102288405986,0.6673465608465609,0.1895160893659212,0.06521739129017014,0.1374999999828125,0.12374999998453126,0.23529411757785468,-0.23913043473062384,-0.13499999998312498,-0.18916666666666665
SINGLE_mean_disp,1,mean_disp,protein_logo,2,Logistic Regression,0.2,0.5922222222222223,0.25730920055714684,0.7247407407407408,0.23847458618873313,0.23913043473062381,0.22499999997187503,0.20249999997468754,0.20588235288062284,-0.06521739129017015,-0.0562499999929687,-0.014722222222222081
SINGLE_rmsd_var,1,rmsd_var,protein_logo,2,Logistic Regression,0.2,0.6366666666666667,0.3199508064039197,0.7705291005291005,0.21281943551499005,0.3260869564508507,0.29999999996250004,0.26999999996625,0.2647058822750865,0.021739130430056708,0.011249999998593774,0.029722222222222316
SINGLE_slope,1,slope,protein_logo,2,Logistic Regression,0.2,0.6763888888888888,0.29510539025579435,0.8060846560846561,0.1868584973277147,0.4347826086011342,0.324999999959375,0.2924999999634375,0.176470588183391,0.13043478258034025,0.033749999995781266,0.06944444444444442
SINGLE_var_disp,1,var_disp,protein_logo,2,Logistic Regression,0.2,0.6061111111111112,0.29565474526051794,0.754462962962963,0.21609836358354087,0.15217391301039698,0.17499999997812501,0.15749999998031253,0.20588235288062284,-0.15217391301039698,-0.10124999998734371,-0.0008333333333332416
