feature_set,n_features,features,cv_regime,timescale_ns,model,fpr_target,auc,auc_std,pr_auc,pr_auc_std,recall,triage_rate,cost_saved,achieved_fpr,delta_recall_vs_base,delta_cost_vs_base,delta_auc_vs_base
F5_struct_energy,5,"slope, rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,5,Logistic Regression,0.2,0.7148575036075037,0.09847489028036206,0.7704649594232927,0.1182897810048013,0.5652173911814745,0.41249999994843756,0.30937499996132817,0.20588235288062284,0.0,0.0,0.0
F4_struct,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,5,Logistic Regression,0.2,0.684695165945166,0.12395363628160104,0.7506056520639854,0.12003318742880935,0.6086956520415879,0.4874999999390625,0.36562499995429687,0.3235294116695502,0.043478260860113416,0.0562499999929687,-0.030162337662337668
LOFO_no_energy_std,4,"slope, rmsd_var, mean_disp, var_disp",pocket_gkf,5,Logistic Regression,0.2,0.684695165945166,0.12395363628160104,0.7506056520639854,0.12003318742880935,0.6086956520415879,0.4874999999390625,0.36562499995429687,0.3235294116695502,0.043478260860113416,0.0562499999929687,-0.030162337662337668
LOFO_no_mean_disp,4,"slope, rmsd_var, var_disp, energy_std",pocket_gkf,5,Logistic Regression,0.2,0.7185434704184706,0.09168293946822599,0.7804691744843261,0.10819328934429212,0.5869565216115312,0.42499999994687504,0.3187499999601563,0.20588235288062284,0.021739130430056708,0.009374999998828126,0.0036859668109668897
LOFO_no_rmsd_var,4,"slope, mean_disp, var_disp, energy_std",pocket_gkf,5,Logistic Regression,0.2,0.5756700937950938,0.04377832375294491,0.6514153964722146,0.04506374544376528,0.3260869564508507,0.3124999999609375,0.23437499997070313,0.29411764697231835,-0.23913043473062384,-0.07499999999062504,-0.13918740981240985
LOFO_no_slope,4,"rmsd_var, mean_disp, var_disp, energy_std",pocket_gkf,5,Logistic Regression,0.2,0.6712445887445887,0.10375239605303502,0.7523528554778556,0.11038289941227569,0.4130434781710775,0.3124999999609375,0.23437499997070313,0.176470588183391,-0.152173913010397,-0.07499999999062504,-0.043612914862914964
LOFO_no_var_disp,4,"slope, rmsd_var, mean_disp, energy_std",pocket_gkf,5,Logistic Regression,0.2,0.7300703463203464,0.09610313783452144,0.772606012814346,0.11592900559230082,0.6086956520415879,0.42499999994687504,0.3187499999601563,0.176470588183391,0.043478260860113416,0.009374999998828126,0.015212842712842733
F1_energy,1,energy_std,pocket_gkf,5,Logistic Regression,0.2,0.5707891414141415,0.097485379167359,0.6929604192104193,0.08260252583640613,0.28260869559073726,0.24999999996875003,0.18749999997656253,0.20588235288062284,-0.28260869559073726,-0.12187499998476564,-0.14406836219336216
SINGLE_mean_disp,1,mean_disp,pocket_gkf,5,Logistic Regression,0.2,0.6153147546897546,0.08437416737900778,0.7030190012008193,0.08044786882396932,0.2173913043005671,0.21249999997343752,0.15937499998007815,0.20588235288062284,-0.34782608688090744,-0.14999999998125002,-0.09954274891774906
SINGLE_rmsd_var,1,rmsd_var,pocket_gkf,5,Logistic Regression,0.2,0.6608549783549784,0.15845491697681569,0.7229670469821985,0.116721310064154,0.26086956516068055,0.23749999997031251,0.1781249999777344,0.20588235288062284,-0.30434782602079397,-0.13124999998359377,-0.054002525252525246
